"cs","alt","download_speed","router_included","bundles","price","text"
6,3,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 50 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
7,1,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None",49.99,"download_speed: 1.000 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: None, price: 49.99"
7,2,"1.000 Mbit/s","Yes - basic router free","None",49.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 49.99"
7,3,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",29.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99"
8,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None",49.99,"download_speed: 50 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: None, price: 49.99"
8,2,"50 Mbit/s","Yes - basic router free","None",29.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 29.99"
8,3,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None",49.99,"download_speed: 1.000 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: None, price: 49.99"
9,1,"250 Mbit/s","No (you use your own or buy)","None",49.99,"download_speed: 250 Mbit/s, router_included: No (you use your own or buy), bundles: None, price: 49.99"
9,2,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",29.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99"
9,3,"1.000 Mbit/s","No (you use your own or buy)","None",49.99,"download_speed: 1.000 Mbit/s, router_included: No (you use your own or buy), bundles: None, price: 49.99"
10,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",49.99,"download_speed: 50 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 49.99"
10,2,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
10,3,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",49.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 49.99"
11,1,"250 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 250 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
11,2,"50 Mbit/s","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
11,3,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",29.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99"
12,1,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
12,2,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None",49.99,"download_speed: 50 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: None, price: 49.99"
12,3,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"download_speed: 1.000 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
13,1,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
13,2,"1.000 Mbit/s","Yes - basic router free","None",69.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 69.99"
13,3,"1.000 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 1.000 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
14,1,"250 Mbit/s","Yes - basic router free","None",49.99,"download_speed: 250 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 49.99"
14,2,"1.000 Mbit/s","Yes - basic router free","None",29.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 29.99"
14,3,"1.000 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",69.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 69.99"
15,1,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",49.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 49.99"
15,2,"250 Mbit/s","No (you use your own or buy)","None",49.99,"download_speed: 250 Mbit/s, router_included: No (you use your own or buy), bundles: None, price: 49.99"
15,3,"250 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 250 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
16,1,"50 Mbit/s","Yes - basic router free","None",29.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 29.99"
16,2,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
16,3,"50 Mbit/s","Yes - basic router free","None",29.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 29.99"
