"cs","alt","download_speed","router_included","bundles","price","text"
5,1,"250 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)","69.99","250 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; Free landline flat (unlimited calls within Germany); 69.99"
5,2,"1.000 Mbit/s","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)","29.99","1.000 Mbit/s; No (you use your own or buy); + Mobile flat (unlimited 5G SIM for smartphone); 29.99"
5,3,"250 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","69.99","250 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 69.99"
6,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)","49.99","50 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; + Mobile flat (unlimited 5G SIM for smartphone); 49.99"
6,2,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)","69.99","1.000 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; + Mobile flat (unlimited 5G SIM for smartphone); 69.99"
6,3,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)","69.99","50 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; Free landline flat (unlimited calls within Germany); 69.99"
7,1,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None","49.99","1.000 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; None; 49.99"
7,2,"1.000 Mbit/s","Yes - basic router free","None","49.99","1.000 Mbit/s; Yes - basic router free; None; 49.99"
7,3,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)","29.99","50 Mbit/s; Yes - basic router free; + Mobile flat (unlimited 5G SIM for smartphone); 29.99"
8,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None","49.99","50 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; None; 49.99"
8,2,"50 Mbit/s","Yes - basic router free","None","29.99","50 Mbit/s; Yes - basic router free; None; 29.99"
8,3,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None","49.99","1.000 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; None; 49.99"
9,1,"250 Mbit/s","No (you use your own or buy)","None","49.99","250 Mbit/s; No (you use your own or buy); None; 49.99"
9,2,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)","29.99","50 Mbit/s; Yes - basic router free; + Mobile flat (unlimited 5G SIM for smartphone); 29.99"
9,3,"1.000 Mbit/s","No (you use your own or buy)","None","49.99","1.000 Mbit/s; No (you use your own or buy); None; 49.99"
10,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)","49.99","50 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; Free landline flat (unlimited calls within Germany); 49.99"
10,2,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","29.99","50 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 29.99"
10,3,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","49.99","1.000 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 49.99"
11,1,"250 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","29.99","250 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 29.99"
11,2,"50 Mbit/s","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)","49.99","50 Mbit/s; No (you use your own or buy); + Mobile flat (unlimited 5G SIM for smartphone); 49.99"
11,3,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)","29.99","50 Mbit/s; Yes - basic router free; + Mobile flat (unlimited 5G SIM for smartphone); 29.99"
12,1,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","29.99","1.000 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 29.99"
12,2,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None","49.99","50 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; None; 49.99"
12,3,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)","49.99","1.000 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; + Mobile flat (unlimited 5G SIM for smartphone); 49.99"
13,1,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","29.99","1.000 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 29.99"
13,2,"1.000 Mbit/s","Yes - basic router free","None","69.99","1.000 Mbit/s; Yes - basic router free; None; 69.99"
13,3,"1.000 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","29.99","1.000 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 29.99"
14,1,"250 Mbit/s","Yes - basic router free","None","49.99","250 Mbit/s; Yes - basic router free; None; 49.99"
14,2,"1.000 Mbit/s","Yes - basic router free","None","29.99","1.000 Mbit/s; Yes - basic router free; None; 29.99"
14,3,"1.000 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)","69.99","1.000 Mbit/s; Yes - basic router free; + Mobile flat (unlimited 5G SIM for smartphone); 69.99"
15,1,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","49.99","50 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 49.99"
15,2,"250 Mbit/s","No (you use your own or buy)","None","49.99","250 Mbit/s; No (you use your own or buy); None; 49.99"
15,3,"250 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","69.99","250 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 69.99"
16,1,"50 Mbit/s","Yes - basic router free","None","29.99","50 Mbit/s; Yes - basic router free; None; 29.99"
16,2,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","69.99","50 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 69.99"
16,3,"1.000 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","69.99","1.000 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 69.99"
