"cs","Option","brand","download_speed","contract_length","router_included","bundles","price","text"
6,2,"T-Mobile","250 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","Free landline flat (unlimited calls within Germany)",49.99,"brand: T-Mobile, download_speed: 250 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 49.99"
6,3,"O2","50 Mbit/s","1 month (monthly cancelable)","Yes - high-end Wi-Fi 6/7 mesh router free","+ German TV package (100+ channels)",59.99,"brand: O2, download_speed: 50 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + German TV package (100+ channels), price: 59.99"
7,1,"O2","1.000 Mbit/s","12 months","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",59.99,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99"
7,2,"Vodafone","500 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","6 months free (50 % discount first half year)",29.99,"brand: Vodafone, download_speed: 500 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 29.99"
7,3,"T-Mobile","100 Mbit/s","24 months (standard)","Yes - basic router free","Free landline flat (unlimited calls within Germany)",19.99,"brand: T-Mobile, download_speed: 100 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
8,1,"Vodafone","250 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",59.99,"brand: Vodafone, download_speed: 250 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 59.99"
8,2,"Vodafone","50 Mbit/s","12 months","Yes - basic router free","Free landline flat (unlimited calls within Germany)",39.99,"brand: Vodafone, download_speed: 50 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 39.99"
8,3,"T-Mobile","1.000 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","6 months free (50 % discount first half year)",59.99,"brand: T-Mobile, download_speed: 1.000 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: 6 months free (50 % discount first half year), price: 59.99"
9,1,"Vodafone","50 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"brand: Vodafone, download_speed: 50 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
9,2,"T-Mobile","500 Mbit/s","24 months (standard)","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",29.99,"brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
9,3,"T-Mobile","1.000 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",19.99,"brand: T-Mobile, download_speed: 1.000 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
10,1,"T-Mobile","50 Mbit/s","24 months (standard)","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",29.99,"brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99"
10,2,"T-Mobile","50 Mbit/s","12 months","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",19.99,"brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 12 months, router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 19.99"
10,3,"Vodafone","50 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",19.99,"brand: Vodafone, download_speed: 50 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 19.99"
11,1,"T-Mobile","100 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",29.99,"brand: T-Mobile, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
11,2,"Vodafone","250 Mbit/s","24 months (standard)","Yes - basic router free","Free landline flat (unlimited calls within Germany)",39.99,"brand: Vodafone, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 39.99"
11,3,"Vodafone","500 Mbit/s","12 months","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",29.99,"brand: Vodafone, download_speed: 500 Mbit/s, contract_length: 12 months, router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99"
12,1,"T-Mobile","100 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","6 months free (50 % discount first half year)",49.99,"brand: T-Mobile, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 49.99"
12,2,"O2","500 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","6 months free (50 % discount first half year)",39.99,"brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 39.99"
12,3,"Vodafone","100 Mbit/s","12 months","Yes - basic router free","6 months free (50 % discount first half year)",19.99,"brand: Vodafone, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: 6 months free (50 % discount first half year), price: 19.99"
13,1,"Vodafone","100 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","6 months free (50 % discount first half year)",29.99,"brand: Vodafone, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 29.99"
13,2,"T-Mobile","500 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",29.99,"brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
13,3,"O2","1.000 Mbit/s","24 months (standard)","Yes - basic router free","None",29.99,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: None, price: 29.99"
14,1,"T-Mobile","250 Mbit/s","24 months (standard)","Yes - basic router free","Free landline flat (unlimited calls within Germany)",59.99,"brand: T-Mobile, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 59.99"
14,2,"Vodafone","500 Mbit/s","24 months (standard)","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",39.99,"brand: Vodafone, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 39.99"
14,3,"Vodafone","1.000 Mbit/s","1 month (monthly cancelable)","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",39.99,"brand: Vodafone, download_speed: 1.000 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 39.99"
15,1,"O2","1.000 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","+ German TV package (100+ channels)",19.99,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 19.99"
15,2,"Vodafone","100 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","None",59.99,"brand: Vodafone, download_speed: 100 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: None, price: 59.99"
15,3,"O2","100 Mbit/s","24 months (standard)","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"brand: O2, download_speed: 100 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
16,1,"O2","250 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","+ German TV package (100+ channels)",39.99,"brand: O2, download_speed: 250 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 39.99"
16,2,"Vodafone","250 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)",39.99,"brand: Vodafone, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 39.99"
16,3,"T-Mobile","250 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","None",39.99,"brand: T-Mobile, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: None, price: 39.99"
